code,kind,name,price,comment,score,province,city,star
mashhad-marmar,hotel,هتل مرمر,۱۲۵۰۰۰,(۷),۳.۴,خراسان رضوی,مشهد,(۲ ستاره)
mashhad-aban,hotel,هتل آبان,۳۸۰۰۰۰,(۲),۴.۹,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-ghasre-aidin,hotel,هتل قصر آیدین,۱۶۵۰۰۰,(۳۸),۴.۱,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-khaneh-sabz,hotel,هتل خانه سبز,۱۹۴۰۰۰,(۷۰),۴.۳,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-sarina,hotel,هتل سارینا,۲۰۰۰۰۰,,,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-pardisan,hotel,هتل پردیسان,۴۶۰۰۰۰,(۷۶),۴,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-homa-1,hotel,هتل هما ۱,۷۲۸۰۰۰,(۱۴),۳.۹,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-seraj,hotel,هتل سراج,۱۳۵۰۰۰,(۸),۳,خراسان رضوی,مشهد,(۲ ستاره)
mashhad-tara,hotel,هتل تارا,۵۷۳۰۰۰,(۱۴),۳.۲,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-rosedarvishi,hotel,هتل رز درویشی,۱۶۰۵۰۰۰,(۳),۳.۹,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-homa-1,hotel,هتل هما ۱,۷۲۸۰۰۰,(۱۴),۳.۹,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-neginpasargad,hotel,هتل نگین پاسارگاد,۷۸۱۹۰۰,,,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-nasim shargh,hotel,هتل نسیم شرق,۲۸۶۰۰۰,(۱),۱.۸,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-razavieh,hotel,هتل رضویه,۳۱۵۰۰۰,(۲۷),۴,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-diplomat,hotel,هتل دیپلمات,۲۳۴۰۰۰,(۵),۴,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-refah,hotel,هتل رفاه,۵۲۱۰۰۰,(۳۱),۴.۶,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-zamzam2,hotel,هتل زمزم ۲,۱۷۰۰۰۰,,,خراسان رضوی,مشهد,(۲ ستاره)
mashhad-ghasr,hotel,هتل بین المللی قصر,۸۸۱۰۰۰,(۱۱),۴.۰,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-marat,hotel,هتل مرآت,۲۶۰۰۰۰,(۶),۳.۳,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-helia,hotel,هتل هلیا,۳۲۰۰۰۰,(۲۱),۴,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-javahereshargh,hotel,هتل جواهر شرق,۲۸۴۰۰۰,(۲۲),۴.۲,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-enghlab,hotel,هتل انقلاب,۱۲۰۰۰۰,,,خراسان رضوی,مشهد,(۲ ستاره)
mashhad-farhangohonar,hotel,هتل فرهنگ و هنر,۲۶۵۰۰۰,(۷۳),۴.۵,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-porsetareh,hotel,هتل پرستاره,۱۲۰۰۰۰,(۱۰),۴.۶,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-mayamey,hotel,هتل میامی,۲۱۰۰۰۰,(۱۴),۳.۸,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-almas,hotel,هتل الماس,۴۵۵۰۰۰,(۳۳),۴.۱,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-almasnovin,hotel,هتل الماس نوین,۴۴۱۰۰۰,(۲۷),۴.۳,خراسان رضوی,مشهد,(۴ ستاره)
